Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.88      0.08     0.08    24490     0.00     0.01  HTTPServer::response_static_file(req_context*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  6.17      0.13     0.05  5145242     0.00     0.00  readn(req_context*, char*)
  6.17      0.18     0.05    25427     0.00     0.00  context_pool::free_req_context(req_context*)
  6.17      0.23     0.05    25371     0.00     0.00  HTTPServer::get_file_info(char const*, unsigned long&)
  6.17      0.28     0.05                             _init
  4.94      0.32     0.04   120340     0.00     0.00  EventPoll::event_loop()
  4.94      0.36     0.04    24388     0.00     0.00  HTTPServer::send_response_file(req_context*)
  3.70      0.39     0.03    25395     0.00     0.00  context_pool::alloc_req_context(int, int)
  2.47      0.41     0.02   632201     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::substr(unsigned long, unsigned long) const
  2.47      0.43     0.02   195601     0.00     0.00  handleClient(req_context*)
  2.47      0.45     0.02    96594     0.00     0.00  std::_Function_base::_Function_base()
  2.47      0.47     0.02    49770     0.00     0.00  std::function<void ()>::operator bool() const
  2.47      0.49     0.02    49553     0.00     0.00  std::reference_wrapper<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::reference_wrapper<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, void, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  2.47      0.51     0.02    47309     0.00     0.00  std::mutex::lock()
  1.23      0.52     0.01  2442081     0.00     0.00  HTTPServer::setup_default_routes()::{lambda(req_context*)#1} const* std::__addressof<HTTPServer::setup_default_routes()::{lambda(req_context*)#1} const>(HTTPServer::setup_default_routes()::{lambda(req_context*)#1} const&)
  1.23      0.53     0.01   878994     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  1.23      0.54     0.01   660013     0.00     0.00  std::char_traits<char>::length(char const*)
  1.23      0.55     0.01   170259     0.00     0.00  HTTPServer::setup_default_routes()
  1.23      0.56     0.01   150207     0.00     0.00  std::_Function_handler<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& (req_context*), HTTPServer::setup_default_routes()::{lambda(req_context*)#5}>::_M_invoke(std::_Any_data const&, req_context*&&)
  1.23      0.57     0.01   148871     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::basic_string_view(char const*)
  1.23      0.58     0.01   122961     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  1.23      0.59     0.01    73777     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
  1.23      0.60     0.01    73689     0.00     0.00  unsigned int std::__detail::__to_chars_len<unsigned int>(unsigned int, int)
  1.23      0.61     0.01    72380     0.00     0.00  Socket::get_socket() const
  1.23      0.62     0.01    50845     0.00     0.00  context_pool::spin_lock(std::atomic_flag*)
  1.23      0.63     0.01    50836     0.00     0.00  int std::atomic_load<int>(std::atomic<int> const*)
  1.23      0.64     0.01    49767     0.00     0.00  std::function<void ()>::function(std::function<void ()> const&)
  1.23      0.65     0.01    49588     0.00     0.00  HTTPBuilder::clear()
  1.23      0.66     0.01    49473     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& std::forward<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&)
  1.23      0.67     0.01    49257     0.00     0.00  void std::__detail::__to_chars_10_impl<unsigned long>(char*, unsigned int, unsigned long)
  1.23      0.68     0.01    49101     0.00     0.00  TLS wrapper function for http_server
  1.23      0.69     0.01    48961     0.00     0.00  void (*&std::forward<void (*&)(req_context*)>(std::remove_reference<void (*&)(req_context*)>::type&))(req_context*)
  1.23      0.70     0.01    47107     0.00     0.00  std::unique_lock<std::mutex>::lock()
  1.23      0.71     0.01    47073     0.00     0.00  Socket::accept_connection()
  1.23      0.72     0.01    25368     0.00     0.00  bool std::operator!=<char, std::char_traits<char> >(std::basic_string_view<char, std::char_traits<char> >, std::__type_identity<std::basic_string_view<char, std::char_traits<char> > >::type)
  1.23      0.73     0.01    24992     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  1.23      0.74     0.01    24987     0.00     0.00  std::__detail::_Hashtable_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<true, false, true> >::_M_equals(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, std::__detail::_Hash_node_value<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, true> const&) const
  1.23      0.75     0.01    24980     0.00     0.00  std::_Hashtable<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >, std::__detail::_Select1st, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node(unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const
  1.23      0.76     0.01    24698     0.00     0.00  HTTPServer::build_error_response(int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  1.23      0.77     0.01    24440     0.00     0.00  HTTPServer::read_http_request(req_context*)
  1.23      0.78     0.01    24432     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  1.23      0.79     0.01    24185     0.00     0.00  __gnu_cxx::__normal_iterator<http_uri_handler*, std::vector<http_uri_handler, std::allocator<http_uri_handler> > >::difference_type __gnu_cxx::operator-<http_uri_handler*, std::vector<http_uri_handler, std::allocator<http_uri_handler> > >(__gnu_cxx::__normal_iterator<http_uri_handler*, std::vector<http_uri_handler, std::allocator<http_uri_handler> > > const&, __gnu_cxx::__normal_iterator<http_uri_handler*, std::vector<http_uri_handler, std::allocator<http_uri_handler> > > const&)
  1.23      0.80     0.01    24120     0.00     0.00  HTTPParser::parse_headers(std::basic_string_view<char, std::char_traits<char> >, unsigned long&)
  1.23      0.81     0.01    16170     0.00     0.00  std::_Function_handler<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& (req_context*), HTTPServer::setup_default_routes()::{lambda(req_context*)#2}>::_M_invoke(std::_Any_data const&, req_context*&&)
  0.00      0.81     0.00  1168316     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >& std::forward<std::basic_string_view<char, std::char_traits<char> >&>(std::remove_reference<std::basic_string_view<char, std::char_traits<char> >&>::type&)
  0.00      0.81     0.00   825869     0.00     0.00  std::char_traits<char>::find(char const*, unsigned long, char const&)
  0.00      0.81     0.00   658452     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::basic_string_view(char const*, unsigned long)
  0.00      0.81     0.00   635073     0.00     0.00  std::__sv_check(unsigned long, unsigned long, char const*)
  0.00      0.81     0.00   318030     0.00     0.00  std::char_traits<char>::compare(char const*, char const*, unsigned long)
  0.00      0.81     0.00   291993     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> > >*, std::vector<std::pair<std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> > >, std::allocator<std::pair<std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> > > > > >::__normal_iterator(std::pair<std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> > >* const&)
  0.00      0.81     0.00   242981     0.00     0.00  HTTPParser::clear()
  0.00      0.81     0.00   226705     0.00     0.00  __gthread_active_p()
  0.00      0.81     0.00   224641     0.00     0.00  EventPoll::handle_client_data(req_context*)::{lambda()#1}&& std::forward<EventPoll::handle_client_data(req_context*)::{lambda()#1}>(std::remove_reference<EventPoll::handle_client_data(req_context*)::{lambda()#1}>::type&)
  0.00      0.81     0.00   195491     0.00     0.00  std::_Function_handler<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& (req_context*), HTTPServer::setup_default_routes()::{lambda(req_context*)#1}>::_M_manager(std::_Any_data&, std::_Any_data const&, std::_Manager_operation)
  0.00      0.81     0.00   195306     0.00     0.00  req_context*&& std::forward<req_context*>(std::remove_reference<req_context*>::type&)
  0.00      0.81     0.00   193862     0.00     0.00  std::basic_string_view<char, std::char_traits<char> >::find(char const*, unsigned long, unsigned long) const
